CV (%);MAD
148.529;23
3640.63;18
149.689;26
148.529;23
3640.63;18
149.689;26
148.529;23
3640.63;18
149.689;26
148.529;23
3640.63;18
149.689;26
148.529;23
3640.63;18
149.689;26
148.529;23
3640.63;18
149.689;26
148.529;23
3640.63;18
149.689;26
148.529;23
3640.63;18
149.689;26
148.529;23
3640.63;18
149.689;26
148.529;23
3640.63;18
149.689;26
148.529;23
3640.63;18
149.689;26
148.529;23
3640.63;18
149.689;26
148.529;23
3640.63;18
149.689;26
148.529;23
3640.63;18
149.689;26
148.529;23
3640.63;18
149.689;26
-55.7859;13
14996.4;19
158.806;20
-55.7859;13
14996.4;19
158.806;20
-55.7859;13
14996.4;19
158.806;20
-55.7859;13
14996.4;19
158.806;20
-55.7859;13
14996.4;19
158.806;20
-55.7859;13
14996.4;19
158.806;20
-55.7859;13
14996.4;19
158.806;20
-55.7859;13
14996.4;19
158.806;20
-55.7859;13
14996.4;19
158.806;20
-55.7859;13
14996.4;19
158.806;20
-55.7859;13
14996.4;19
158.806;20
-55.7859;13
14996.4;19
158.806;20
-55.7859;13
14996.4;19
158.806;20
-55.7859;13
14996.4;19
158.806;20
-55.7859;13
14996.4;19
158.806;20
-236.355;29
-1476.19;31
156.495;23
-236.355;29
-1476.19;31
156.495;23
-236.355;29
-1476.19;31
156.495;23
-236.355;29
-1476.19;31
156.495;23
-236.355;29
-1476.19;31
156.495;23
-236.355;29
-1476.19;31
156.495;23
-236.355;29
-1476.19;31
156.495;23
-236.355;29
-1476.19;31
156.495;23
-236.355;29
-1476.19;31
156.495;23
-236.355;29
-1476.19;31
156.495;23
-236.355;29
-1476.19;31
156.495;23
-236.355;29
-1476.19;31
156.495;23
-236.355;29
-1476.19;31
156.495;23
-236.355;29
-1476.19;31
156.495;23
-236.355;29
-1476.19;31
156.495;23
-219.795;30
589.386;24
-109.427;21
-219.795;30
589.386;24
-109.427;21
-219.795;30
589.386;24
-109.427;21
-219.795;30
589.386;24
-109.427;21
-219.795;30
589.386;24
-109.427;21
-219.795;30
589.386;24
-109.427;21
-219.795;30
589.386;24
-109.427;21
-219.795;30
589.386;24
-109.427;21
-219.795;30
589.386;24
-109.427;21
-219.795;30
589.386;24
-109.427;21
-219.795;30
589.386;24
-109.427;21
-219.795;30
589.386;24
-109.427;21
-219.795;30
589.386;24
-109.427;21
-219.795;30
589.386;24
-109.427;21
-219.795;30
589.386;24
-109.427;21
176.033;26
864.489;23
157.624;25
176.033;26
864.489;23
157.624;25
176.033;26
864.489;23
157.624;25
176.033;26
864.489;23
157.624;25
176.033;26
864.489;23
157.624;25
176.033;26
864.489;23
157.624;25
176.033;26
864.489;23
157.624;25
176.033;26
864.489;23
157.624;25
176.033;26
864.489;23
157.624;25
176.033;26
864.489;23
157.624;25
176.033;26
864.489;23
157.624;25
176.033;26
864.489;23
157.624;25
176.033;26
864.489;23
157.624;25
176.033;26
864.489;23
157.624;25
176.033;26
864.489;23
157.624;25
102.598;19
-1475.86;12
141.037;27
102.598;19
-1475.86;12
141.037;27
102.598;19
-1475.86;12
141.037;27
102.598;19
-1475.86;12
141.037;27
102.598;19
-1475.86;12
141.037;27
102.598;19
-1475.86;12
141.037;27
102.598;19
-1475.86;12
141.037;27
102.598;19
-1475.86;12
141.037;27
102.598;19
-1475.86;12
141.037;27
102.598;19
-1475.86;12
141.037;27
102.598;19
-1475.86;12
141.037;27
